LANGUAGE,English,French
STR_R3F_10Rnd_127x99_PEI_M107_LIB,"10 rounds magazine for Barrett M107 sniper riffle. It contains Piercing Explosive Incendiary rounds used in anti-material combat. Cal. 12.7x99mm.","Chargeur de 10 cartouches pour fusil de précision Barrett M107. Il contient des balles Perforantes Explosives Incendiaires destinées à l'usage anti-matériel. Cal. 12.7x99mm."






STR_R3F_200Rnd_556x45_MINIMI,"Minimi Mag. 200 rounds","Charg. Minimi 200 coups"
STR_R3F_200Rnd_556x45_MINIMI_DESC,"Cal. 5.56x45mm, 915 m/s","Cal. 5.56x45mm, 915 m/s"
STR_R3F_200Rnd_556x45_MINIMI_LIB,"200 rounds magazine for MINIMI. Cal. 5.56x45mm.", "Chargeur de 200 cartouches pour MINIMI. Cal. 5.56x45mm."

STR_R3F_100Rnd_762x51_MINIMI,"Minimi Mag. 100 rounds","Charg. Minimi 100 coups"
STR_R3F_100Rnd_762x51_MINIMI_DESC,"Cal. 7.62x51mm, 820 m/s","Cal. 7.62x51mm, 820 m/s"
STR_R3F_100Rnd_762x51_MINIMI_LIB,"100 rounds magazine for MINIMI. Cal. 7.62x51mm.", "Chargeur de 100 cartouches pour MINIMI. Cal. 7.62x51mm."

STR_R3F_AT4CS_Mag,"AT4 CS Rocket","Roquette AT4 CS"
STR_R3F_AT4CS_Mag_DESC,"84mm Rocket for AT4 CS Launcher, 290 m/s","Roquette 84mm pour lanceur AT4 CS, 290 m/s"
STR_R3F_AT4CS_Mag_LIB,"84mm HEAT rocket for AT4 CS. These rockets are reserved for light to middle armored vehicule. They can blow 600mm of armor or 1.5 m of concrete.","Roquette de calibre 84mm à tête creuse pour AT4 CS. Ces roquettes sont destinées à l'usage anti-blindé léger / moyen. Elles peuvent perforer jusqu'à 600mm de blindage ou 1.5 M de béton."

STR_R3F_ERYX_Mag,"ERYX Missile","Missile ERYX"
STR_R3F_ERYX_Mag_DESC,"136mm missile for ERYX Launcher, 240 m/s","Missile 136mm pour lanceur ERYX, 240 m/s"
STR_R3F_ERYX_Mag_LIB,"136mm guided missile for ERYX. These missile are reserved for middle to heavy armored vehicule. They can blow anny modern armoring.","Missile de 136mm filoguidé pour lanceur ERYX. Ces missiles sont destinés aux blindé moyens/lourds. Ils peuvent perforer n'importe quel blindage actuel."

STR_R3F_FAMAS_F1,"FAMAS F1","FAMAS F1"
STR_R3F_FAMAS_F1_DESC,"FAMAS F1 model","FAMAS modèle F1"
STR_R3F_FAMAS_F1_LIB,"FAMAS F1 model: The assault rifle of the Manufacture d'Armes de Saint-Étienne was founded in France in 1973 and adopted by the French army in 1979. It is a bullpup type rifle which can be used by right-handers as left-handers. Its barrel length of 488mm gives it both power and precision, but its architecture gives it still a good compactness. It has two modes of fire: piecemeal and burst. Its high rate of fire (1000cps/min) and the ability to shoot free burst (CAR) makes it a perfect assault rifle.","FAMAS  modèle F1 : Le Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne a été créé en Françe en 1973, puis adopté par l'armée française en 1979. C'est un fusil de type BullPup qui peut être utilisé par des droitiers comme des gauchers. Sa longueur de canon de 488mm lui procure à la fois puissance et précision, mais son architecture lui assure tout de même une bonne compacité. Il possède deux modes de tir : coup par coup et rafale. Sa cadence de tir élevée (1000cps/min) et la possibilité de tirer en rafale libre (AUTO) en fait un parfait fusil d'assaut."
STR_R3F_FAMAS_F1_DES,"FAMAS F1 camo","FAMAS F1 camo"

STR_R3F_FAMAS_F1_HG,"FAMAS F1 HG","FAMAS F1 HG"
STR_R3F_FAMAS_F1_HG_DESC,"FAMAS F1 model with HandGrip","FAMAS modèle F1 avec poignée"
STR_R3F_FAMAS_F1_HG_LIB,"FAMAS F1 model + HG: Assault Rifle of the Manufacture d'Armes de Saint-Etienne model F1. This version is equipped with an handgrip","FAMAS modèle F1 + HG : Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne modèle F1. Cette version est équipée d'une poignée"
STR_R3F_FAMAS_F1_HG_DES,"FAMAS F1 HG camo","FAMAS F1 HG camo"

STR_R3F_FAMAS_F1_M203,"FAMAS F1 M203","FAMAS F1 M203"
STR_R3F_FAMAS_F1_M203_DESC,"FAMAS F1 model with grenade launcher","FAMAS modèle F1 avec lance-grenades"
STR_R3F_FAMAS_F1_M203_LIB,"FAMAS F1 model + M203: Assault Rifle of the Manufacture d'Armes de Saint-Etienne model F1. This version is equipped with a 40mm grenade launcher M203","FAMAS modèle F1 + M203: Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne modèle F1. Cette version est équipée d'un lance-grenades M203 calibre 40mm"
STR_R3F_FAMAS_F1_M203_DES,"FAMAS F1 M203 camo","FAMAS F1 M203 camo"

STR_R3F_FAMAS_FELIN,"FAMAS FELIN","FAMAS FELIN"
STR_R3F_FAMAS_FELIN_DESC,"FAMAS with FELIN scope", "FAMAS avec lunette FELIN"
STR_R3F_FAMAS_FELIN_LIB,"FAMAS lowered or commando equipped with an optical FELIN FAMAS is part of this program F.E.L.I.N (infantryman with Integrated Equipment and Liasons). It is a modification of the FAMAS G2, PGM handle was removed and replaced by a rail that allows the addition of the bezel FELIN directly on the FAMAS.","FAMAS surbaissé ou commando équipé d'une optique FELIN, ce FAMAS fait parti du programme du Fantassin à Equipement et Liason INtégrées. Il est une modification du FAMAS G2, la poignée PGM a été retirée et remplacée par un rail qui permet ainsi l'ajout de la lunette FELIN directement sur le FAMAS."
STR_R3F_FAMAS_FELIN_DES,"FAMAS FELIN camo","FAMAS FELIN camo"

STR_R3F_FAMAS_G2,"FAMAS G2","FAMAS G2"
STR_R3F_FAMAS_G2_DESC,"FAMAS G2 model","FAMAS modèle G2"
STR_R3F_FAMAS_G2_LIB,"FAMAS G2 model: The assault rifle of the Manufacture d'Armes de Saint-Etienne G2 model is a modified version of the FAMAS F1. The stripes of the barrel went from a 1 / 12 to 1 / 9 making the use of chargers or 30 rounds STANAG G2 possible. The bridge was removed to be replaced by a handguard that allows infantry to use gloves when fighting winter. The PGM old fiberglass is now plastic","FAMAS modèle G2 : Le Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne modèle G2 est une version modifiée du FAMAS F1. Les rayures du canon sont passées d'un pas de 1/12 à 1/9 rendant l'utilisation des Chargeur de 30 cartouches G2 ou stanag possible. Le pontet a été supprimé pour être remplacé par un garde-main qui permet aux fantassins d'utiliser des gants lors de combat hivernaux. La PGM autrefois en fibre de verre est maintenant en plastique."
STR_R3F_FAMAS_G2_DES,"FAMAS G2 camo","FAMAS G2 camo"

STR_R3F_FAMAS_G2_HG,"FAMAS G2 HG","FAMAS G2 HG"
STR_R3F_FAMAS_G2_HG_DESC,"FAMAS G2 model with HandGrip","FAMAS modèle G2 avec poignée"
STR_R3F_FAMAS_G2_HG_LIB,"FAMAS G2 model + HG: Assault Rifle of the Manufacture d'Armes de Saint-Etienne model G2. This version is equipped with an handgrip","FAMAS modèle G2 + HG : Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne modèle G2. Cette version est équipée d'une poignée"
STR_R3F_FAMAS_G2_HG_DES,"FAMAS G2 HG camo","FAMAS G2 HG camo"

STR_R3F_FAMAS_G2_M203,"FAMAS G2 M203","FAMAS G2 M203"
STR_R3F_FAMAS_G2_M203_DESC,"FAMAS G2 model with grenade launcher","FAMAS modèle G2 avec lance-grenades"
STR_R3F_FAMAS_G2_M203_LIB,"FAMAS G2 model + M203: Assault Rifle of the Manufacture d'Armes de Saint-Etienne model G2. This version is equipped with a 40mm grenade launcher M203","FAMAS modèle G2 + M203: Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne modèle G2. Cette version est équipée d'un lance-grenades M203 calibre 40mm"
STR_R3F_FAMAS_G2_M203_DES,"FAMAS G2 M203 camo","FAMAS G2 M203 camo"

STR_R3F_FAMAS_surb,"FAMAS C","FAMAS C"
STR_R3F_FAMAS_surb_DESC,"FAMAS commando model","FAMAS modèle commando"
STR_R3F_FAMAS_surb_LIB,"FAMAS lowered or commando. This FAMAS is part of the program F.E.L.I.N (infantryman with Integrated Equipment and Liasons). It is a modification of the FAMAS G2, PGM handle was removed and replaced by a rail that allows the addition of any optical directly on the FAMAS.", "FAMAS surbaissé ou commando, ce FAMAS fait parti du programme du Fantassin à Equipement et Liason INtégrées. Il est une modification du FAMAS G2, la poignée PGM a été retirée et remplacée par un rail qui permet ainsi l'ajout de n'importe quelle optique directement sur le FAMAS."
STR_R3F_FAMAS_surb_DES,"FAMAS C camo","FAMAS C camo"

STR_R3F_FAMAS_surb_HG,"FAMAS C HG","FAMAS C HG"
STR_R3F_FAMAS_surb_HG_DESC,"FAMAS commando model with HandGrip","FAMAS modèle commando avec poignée"
STR_R3F_FAMAS_surb_HG_LIB,"FAMAS lowered or commando. This FAMAS  is part of the program F.E.L.I.N (infantryman with Integrated Equipment and Liasons). This version is equipped with an HandGrip.","FAMAS surbaissé ou commando, ce FAMAS fait parti du programme du Fantassin à Equipement et Liason INtégrées. Cette version est équipée d'une poignée."
STR_R3F_FAMAS_surb_HG_DES,"FAMAS C HG camo","FAMAS C HG camo"

STR_R3F_FAMAS_surb_M203,"FAMAS C M203","FAMAS C M203"
STR_R3F_FAMAS_surb_M203_DESC,"FAMAS commando model with grenade launcher","FAMAS modèle commando avec lance-grenades"
STR_R3F_FAMAS_surb_M203_LIB,"FAMAS lowered or commando. This FAMAS is part of the program F.E.L.I.N (infantryman with Integrated Equipment and Liasons). This version is equipped with an M203 grenade launcher 40mm.","FAMAS surbaissé ou commando, ce FAMAS fait parti du programme du Fantassin à Equipement et Liason INtégrées. Cette version est équipée d'un lance-grenades M203 calibre 40mm."
STR_R3F_FAMAS_surb_M203_DES,"FAMAS C M203 camo","FAMAS C M203 camo"

STR_R3F_FRF2, "FrF2","FrF2"
STR_R3F_FRF2_DESC,"FrF2 Riffle","Fusil FrF2"
STR_R3F_FRF2_LIB,"FRF2: Repeating rifle model F2. FRF2 is a 7.62mm caliber NATO manual repetition. It is equipped with a heat resistant tube that avoids the excessive heating of the barrel during firing, and improves the accuracy of the gun. Its effective range is 800m and the initial speed of its projectile is 830 m/s.","FRF2 : Fusil à répétition modèle F2. Le FRF2 est un calibre 7.62mm OTAN à répétition manuelle. Il est équipé d'un tube anti-calorique qui évite l'echauffement excessif du canon lors tirs, et ameliore la précision du fusil.  Sa portée efficace est de 800m et la Vitesse initiale de ses projectiles est de 830 m/s."
STR_R3F_FRF2_DES, "FrF2 camo","FrF2 camo"

STR_R3F_PGM_Hecate_II,"PGM Hecate II","PGM Hecate II"
STR_R3F_PGM_Hecate_II_DESC,"PGM Hecate II Riffle","Fusil PGM Hecate II"
STR_R3F_PGM_Hecate_II_LIB,"PGM Hecate II is a precision bolt action rifle manufactured by PGM precision and size 12.7. It is mainly intended to use anti-material. Its practical significance is 1800m. For efficiency, it can use Piercing Explosive Incendiary Ammunition (IEP).","Le PGM Hecate II est un fusil de précision à verrou fabriqué par PGM précision et de calibre 12.7. Il est principalement déstiné à un usage anti-materiel. Sa portée pratique est de 1800m. Pour plus d'efficacité, il peut utiliser des munitions Perforantes Explosives Incendiaires (P.E.I)."
STR_R3F_PGM_Hecate_II_DES,"PGM Hecate II camo","PGM Hecate II camo"

STR_R3F_PGM_Hecate_II_POLY,"PGM Polymer","PGM Polymere"
STR_R3F_PGM_Hecate_II_POLY_DESC,"PGM Hecate II Riffle","Fusil PGM Hecate II"
STR_R3F_PGM_Hecate_II_POLY_LIB,"PGM Hecate II is a precision bolt action rifle manufactured by PGM precision and size 12.7. It is mainly intended to use anti-material. Its practical significance is 1800m. For efficiency, it can use Piercing Explosive Incendiary Ammunition (IEP).","Le PGM Hecate II est un fusil de précision à verrou fabriqué par PGM précision et de calibre 12.7. Il est principalement déstiné à un usage anti-materiel. Sa portée pratique est de 1800m. Pour plus d'efficacité, il peut utiliser des munitions Perforantes Explosives Incendiaires (P.E.I)."

STR_R3F_M107,"Barrett M107","Barrett M107"
STR_R3F_M107_DESC,"Barrett M107 Riffle","Fusil Barrett M107"
STR_R3F_M107_LIB,"M107 is a heavy sniper rifle manufactured by Barrett and size 12.7. It is mainly intended to use anti-material. Its practical significance is 1800m. For efficiency, it can use Piercing Explosive Incendiary Ammunition (IEP).","Le M107 est un fusil de précision lourd fabriqué par Barrett et de calibre 12.7. Il est principalement déstiné à un usage anti-materiel. Sa portée pratique est de 1800m. Pour plus d'efficacité, il peut utiliser des munitions Perforantes Explosives Incendiaires (P.E.I)."
STR_R3F_M107_DES,"Barrett M107 camo","Barrett M107 camo"


STR_R3F_Minimi, "Minimi Para","Minimi Para"
STR_R3F_Minimi_DESC,"Airborne FN Minimi","FN Minimi Para"
STR_R3F_Minimi_LIB,"The Minimi, wich means 'MINI-MItraileuse', was developped during the 70's by FN Herstal, in Belgium. It can fire 200 5.56 rounds magazine. It's used for defensive and offensive purpose.","La Minimi, qui veut dire MINI-MItraileuse, a été inventée dans les années 70 par la firme nationale de Herstal en Belgique. Elle peut tirer des chargeurs de 200 cartouches en 5.56mm. Elle est destinée à une utilisation défensive et offensive."

STR_R3F_Minimi_762, "Minimi Para 7.62","Minimi Para 7.62"
STR_R3F_Minimi_762_DESC,"Airborne FN Minimi 7.62","FN Minimi Para 7.62"
STR_R3F_Minimi_762_LIB,"The Minimi 7.62, wich means 'MINI-MItraileuse', was developped by FN Herstal, in Belgium. It can fire 100 7.62 rounds magazine. It's used for defensive and offensive purpose.","La Minimi, qui veut dire MINI-MItraileuse, a été développée par la firme nationale de Herstal en Belgique. Elle peut tirer des chargeurs de 100 cartouches de 7.62mm. Elle est destinée à une utilisation défensive et offensive."

STR_R3F_Minimi_HG, "Minimi Para HG","Minimi Para HG"
STR_R3F_Minimi_HG_DESC,"Airborne FN Minimi with HandGrip","FN Minimi Para avec poignée"
STR_R3F_Minimi_HG_LIB,"The Minimi, wich means 'MINI-MItraileuse', was developped during the 70's by FN Herstal, in Belgium. It can fire 200 5.56 rounds magazine. It's used for defensive and offensive purpose. This version is equipped with an Handgrip","La Minimi, qui veut dire MINI-MItraileuse, a été inventée dans les années 70 par la firme nationale de Herstal en Belgique. Elle peut tirer des chargeurs de 200 cartouches en 5.56mm. Elle est destinée à une utilisation défensive et offensive. Cette version est équipée d'une poignée."

STR_R3F_Minimi_762_HG, "Minimi Para 7.62 HG","Minimi Para 7.62 HG"
STR_R3F_Minimi_762_HG_DESC,"Airborne FN Minimi 7.62 with HandGrip","FN Minimi Para 7.62 avec poignée"
STR_R3F_Minimi_762_HG_LIB,"The Minimi 7.62, wich means 'MINI-MItraileuse', was developped by FN Herstal, in Belgium. It can fire 100 7.62 rounds magazine. It's used for defensive and offensive purpose. This version is equipped with an Handgrip.","La Minimi, qui veut dire MINI-MItraileuse, a été développée par la firme nationale de Herstal en Belgique. Elle peut tirer des chargeurs de 100 cartouches de 7.62mm. Elle est destinée à une utilisation défensive et offensive. Cette version est équipée d'une poignée."

STR_R3F_HK417L, "HK417 20 inches","HK417 20 pouces"
STR_R3F_HK417L_DESC,"HK417 riffle 20 inches","Fusil HK417 20 pouces"
STR_R3F_HK417L_LIB,"HK417: Heckler and Koch rifle model 417. HK417 is a 7.62mm caliber NATO automatic repetition. It is equipped with a 20 inches floating barrel to improve the accuracy of the gun. Its effective range is 800m and the initial speed of its projectile is 815 m / s.","HK417 : Fusil Heckler and Koch modèle 417. Le HK417 est un calibre 7.62mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 20 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 800m et la Vitesse initiale de ses projectiles est de 815 m/s."
STR_R3F_HK417L_DES, "HK417 20 inches camo","HK417 20 pouces camo"

STR_R3F_HK417M, "HK417 16 inches","HK417 16 pouces"
STR_R3F_HK417M_DESC,"HK417 Riffle 16 inches","Fusil HK417 16 pouces"
STR_R3F_HK417M_LIB,"HK417: Heckler and Koch rifle model 417. HK417 is a 7.62mm caliber NATO automatic repetition. It is equipped with a 16 inches floating barrel to improve the accuracy of the gun. Its effective range is 800m and the initial speed of its projectile is 815 m / s.","HK417 : Fusil Heckler and Koch modèle 417. Le HK417 est un calibre 7.62mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 16 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 800m et la Vitesse initiale de ses projectiles est de 815 m/s."
STR_R3F_HK417M_DES, "HK417 16 inches camo","HK417 16 pouces camo"

STR_R3F_HK417M_HG, "HK417 16 inches HG","HK417 16 pouces HG"
STR_R3F_HK417M_HG_DESC,"HK417 Riffle 16 inches with HandGrip","Fusil HK417 16 pouces avec poignée"
STR_R3F_HK417M_HG_LIB,"HK417: Heckler and Koch rifle model 417. HK417 is a 7.62mm caliber NATO automatic repetition. It is equipped with a 16 inches floating barrel to improve the accuracy of the gun. Its effective range is 800m and the initial speed of its projectile is 815 m / s. This version is equipped with an HandGrip.","HK417 : Fusil Heckler and Koch modèle 417. Le HK417 est un calibre 7.62mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 16 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 800m et la Vitesse initiale de ses projectiles est de 815 m/s. Cette version est équipée d'une poignée."
STR_R3F_HK417M_HG_DES, "HK417 16 inches HG camo","HK417 16 pouces HG camo"

STR_R3F_HK417S, "HK417 12 inches","HK417 12 pouces"
STR_R3F_HK417S_DESC,"HK417 Riffle 12 inches","Fusil HK417 12 pouces"
STR_R3F_HK417S_LIB,"HK417: Heckler and Koch rifle model 417. HK417 is a 7.62mm caliber NATO automatic repetition. It is equipped with a 12 inches floating barrel to improve the accuracy of the gun. Its effective range is 800m and the initial speed of its projectile is 790 m / s.","HK417 : Fusil Heckler and Koch modèle 417. Le HK417 est un calibre 7.62mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 12 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 800m et la Vitesse initiale de ses projectiles est de 790 m/s."
STR_R3F_HK417S_DES, "HK417 12 inches HG camo","HK417 12 pouces HG camo"

STR_R3F_HK417S_HG, "HK417 12 inches HG","HK417 12 pouces HG"
STR_R3F_HK417S_HG_DESC,"HK417 Riffle 12 inches with HandGrip","Fusil HK417 12 pouces avec poignée"
